,date,city,newDeaths,deaths,newCases,totalCases
77,2022-01-01,Alfenas/MG,0,205,0,10818
5673,2022-01-02,Alfenas/MG,0,205,0,10818
11269,2022-01-03,Alfenas/MG,0,205,0,10818
16865,2022-01-04,Alfenas/MG,0,205,0,10818
22461,2022-01-05,Alfenas/MG,0,205,0,10818
28057,2022-01-06,Alfenas/MG,0,205,0,10818
33653,2022-01-07,Alfenas/MG,0,205,0,10818
39249,2022-01-08,Alfenas/MG,0,205,0,10818
44845,2022-01-09,Alfenas/MG,0,205,0,10818
50441,2022-01-10,Alfenas/MG,0,205,0,10818
56037,2022-01-11,Alfenas/MG,0,205,0,10818
61633,2022-01-12,Alfenas/MG,0,205,0,10818
67229,2022-01-13,Alfenas/MG,0,205,0,10818
72825,2022-01-14,Alfenas/MG,0,205,0,10818
78421,2022-01-15,Alfenas/MG,0,205,0,10818
84018,2022-01-16,Alfenas/MG,0,205,0,10818
89614,2022-01-17,Alfenas/MG,0,205,0,10818
95210,2022-01-18,Alfenas/MG,0,205,0,10818
100806,2022-01-19,Alfenas/MG,0,205,0,10818
106402,2022-01-20,Alfenas/MG,0,205,0,10818
111998,2022-01-21,Alfenas/MG,0,205,0,10818
117594,2022-01-22,Alfenas/MG,0,205,0,10818
123190,2022-01-23,Alfenas/MG,0,205,0,10818
128786,2022-01-24,Alfenas/MG,0,205,0,10818
134382,2022-01-25,Alfenas/MG,0,205,0,10818
139978,2022-01-26,Alfenas/MG,0,205,0,10818
145574,2022-01-27,Alfenas/MG,0,205,0,10818
151170,2022-01-28,Alfenas/MG,0,205,0,10818
156766,2022-01-29,Alfenas/MG,0,205,0,10818
162362,2022-01-30,Alfenas/MG,0,205,0,10818
167958,2022-01-31,Alfenas/MG,0,205,0,10818
173554,2022-02-01,Alfenas/MG,0,205,0,10818
179150,2022-02-02,Alfenas/MG,0,205,0,10818
184746,2022-02-03,Alfenas/MG,0,205,0,10818
190342,2022-02-04,Alfenas/MG,0,205,0,10818
195938,2022-02-05,Alfenas/MG,0,205,0,10818
201534,2022-02-06,Alfenas/MG,0,205,0,10818
207130,2022-02-07,Alfenas/MG,0,205,0,10818
212726,2022-02-08,Alfenas/MG,0,205,0,10818
218322,2022-02-09,Alfenas/MG,0,205,0,10818
223918,2022-02-10,Alfenas/MG,0,205,0,10818
229514,2022-02-11,Alfenas/MG,0,205,0,10818
235110,2022-02-12,Alfenas/MG,0,205,0,10818
240706,2022-02-13,Alfenas/MG,0,205,0,10818
246302,2022-02-14,Alfenas/MG,0,205,0,10818
251898,2022-02-15,Alfenas/MG,0,205,0,10818
257494,2022-02-16,Alfenas/MG,0,205,0,10818
263090,2022-02-17,Alfenas/MG,0,205,0,10818
268686,2022-02-18,Alfenas/MG,0,205,0,10818
274282,2022-02-19,Alfenas/MG,0,205,0,10818
279878,2022-02-20,Alfenas/MG,0,205,0,10818
285474,2022-02-21,Alfenas/MG,0,205,0,10818
